ticker,title,summary,link,published
AMZN,Synchrony Says Walmart to Drop Lawsuit Against Credit-Card Issuer,"Synchrony Financial announced that Walmart Inc. has agreed to dismiss a lawsuit against the bank, which had alleged that Synchrony breached terms of their credit-card deal. Walmart was seeking at least $800 million in damages. This development comes after Walmart decided last year to replace Synchrony as its exclusive credit-card issuer with Capital One Financial Corp.",https://www.wsj.com/articles/synchrony-says-walmart-to-drop-lawsuit-against-credit-card-issuer-11548249804?gaa_at=eafs&gaa_n=AWEtsqfw-ilef4zP4KVdbq0du7d4jgeJurtlwqtmdRUDjmc6uLHvqCcXluxN&gaa_ts=690807f7&gaa_sig=VwHLYI-NIwqyy78EgdjtcDtgwVk6ug_NJsXIkBlbw_OhU4jEi-944b1Q_iBfFMR33pORiwP-ZFrhMek0cclNcQ%3D%3D,1546300800
AMZN,Data-Center Market Is Booming Amid Shift to Cloud,"The data-center market is experiencing a boom driven by the shift to cloud computing, even as many businesses are moving IT operations online. This has led to increased demand and consolidation among data-center operators as co-location service providers acquire facilities to lease space to major cloud services like Amazon.com Inc. and Microsoft Corp. The sector is seeing more deals as data-center landlords and cloud providers seek more facilities.",https://www.wsj.com/articles/data-center-market-is-booming-amid-shift-to-cloud-11566252481?gaa_at=eafs&gaa_n=AWEtsqfV8q7isPwkBeNvZCYbzwOxIzxY8fXYS6npoLRxNjz6TvnAxBA46nY5&gaa_ts=6907f661&gaa_sig=5wwsF-NTHa4GhM7tmYGgcwyNyQ7lLsHw6VD1PFV7bWrJ-z0cPGVxNFvRHQj9pS_xVJcaquKI_C4RHCs-ApLKkw%3D%3D,1546300800
AMZN,"Netflix Just Made a Truly Radical Change Affecting Millions of New Subscribers, and It's Totally Brilliant. (Or Maybe Insane--Time Will Tell)","Netflix has implemented a significant change by no longer allowing new subscribers to pay via iTunes, aiming to avoid the substantial ""Apple tax"" of 15% to 30% on subscription revenue. This strategic move, which could save Netflix hundreds of millions, shifts new users to subscribe directly through the Netflix app, cutting Apple out of its commission. While potentially risking some new subscribers, Netflix is betting that its strong demand across platforms will outweigh any losses and make the decision financially brilliant in the long run.",https://www.inc.com/bill-murphy-jr/netflix-just-made-a-truly-radical-change-that-will-affect-how-millions-use-netflix-its-totally-brilliant-or-maybe-insane-time-will-tell.html,1546390596
AMZN,Is Apple Still a ‘forever’ Company? How About Facebook?,"This article questions the ""forever company"" thesis for tech giants like Apple and Facebook, highlighting recent market shifts and challenges. It discusses how Apple's plunging shares due to demand issues in China and Nokia's past trajectory suggest even dominant companies face significant hurdles. The piece also explores the concept of S-curves in technology, suggesting that while current tech giants are strong, a new S-curve, potentially augmented reality or AI, could reset the competitive landscape.",https://www.aei.org/economics/is-apple-still-a-forever-company-how-about-facebook/,1546645283
AMZN,"ADT Unveils New Command and Control Security System, Replacing ADT Pulse","ADT announced the launch of its new ADT Command Panel & Control Platform (ADT Command) at CES 2019, replacing the previous ADT Pulse system. This new smart home security system integrates with a suite of smart security and home automation products, including ADT Go, ADT Video Doorbell, and voice control with Amazon Alexa and Google Home, offering advanced features like geofencing technology and an interactive crime map. The system focuses on enhanced protection, control, and connectivity for customers.",https://www.cepro.com/briefs/adt_unveils_new_command_and_control_security_system_at_ces_2019_pulse/7953/,1546818111
AMZN,Microsoft and Kroger want to show you Minority Report-style ads,"Microsoft and Kroger are partnering to develop high-tech grocery stores that will feature digital shelving displays with real-time pricing and personalized advertisements, reminiscent of ""Minority Report."" These ads will be tailored to individual customers based on demographics and, for opted-in users, previous purchase history, utilizing facial recognition and AI. While not cashierless like Amazon Go, the stores aim to enhance the shopping experience with guided navigation and in-app scanning for faster checkout.",https://www.fastcompany.com/90289099/microsoft-and-kroger-want-to-show-you-minority-report-style-ads,1546821730
AMZN,"For Many Builders, Smart Homes Now Come Standard","New-home builders are increasingly integrating smart home technology as a standard feature due to its widespread adoption and affordability. Companies like Meritage Homes and Lennar are partnering with tech giants such as Amazon, Google, and Apple to offer various smart devices and services, aiming to meet consumer demand and differentiate new constructions from existing homes. This shift is driven by consumer expectations and the decreasing cost of smart home tech, making it a compelling baseline amenity for new builds.",https://builderonline.com/design/technology/for-many-builders-smart-homes-now-come-standard_o,1546822364
AMZN,Resideo Unveils A New Degree Of Whole Home Comfort At CES 2019,"Resideo announced its new Honeywell Home T-Series Smart Thermostats (T9 and T10 Pro) at CES 2019, featuring innovative wireless smart room sensors. These thermostats aim to provide whole-home comfort by adjusting temperatures where and when needed, optimizing for sleep at night and energy savings when away. The T9 model offers DIY installation, while the T10 Pro is professionally installed and includes humidity and ventilation controls.",https://www.prnewswire.com/news-releases/resideo-unveils-a-new-degree-of-whole-home-comfort-at-ces-2019-300774164.html,1546876860
AMZN,Vuzix announces the launch of consumer version of its Blade augmented reality smart glasses,"Vuzix has launched the consumer version of its Blade augmented reality smart glasses for USD$999.99, featuring proprietary waveguide optics, a full-color display, and an HD camera. The glasses integrate with an Android-based OS, a companion app for customization and notifications, and are expected to ship in early February 2019. Vuzix is also partnering with Amazon for Alexa integration and AccuWeather for AR weather experiences, highlighting the Blade's potential for both prosumers and consumers as a step towards wearable computing.",https://www.auganix.org/vuzix-announces-the-launch-of-consumer-version-of-its-blade-augmented-reality-smart-glasses/,1546911399
AMZN,Best Consumer Discretionary ETFs for Q1 2021,"This article identifies the best consumer discretionary ETFs for Q1 2021 based on performance over the past year. The top three ETFs highlighted are IBUY, ONLN, and NERD, which primarily focus on online retail and digital entertainment, showcasing their strong returns and key holdings. These ETFs provide diversified exposure to non-essential goods and services, a sector that has outperformed the broader market.",https://www.investopedia.com/top-performing-consumer-discretionary-etfs-in-2018-4583023,1547021374
