ticker,title,summary,link,published
MA,Cramer Remix: 'It's too soon' to buy even this top-notch industrial stock,"Jim Cramer advises against buying Emerson Electric despite its quality, citing macroeconomic concerns like trade talks with China and oil prices. He also expressed frustration with hedge funds' influence on market swings based solely on oil prices and called for federal regulators to investigate rapid sell-offs like the one on Christmas Eve. Additionally, Cramer discussed backlash from his suggestion for Apple to acquire Epic Systems and gave his preferred fintech stocks: Mastercard, PayPal, and Visa.",https://www.cnbc.com/2019/01/23/cramer-remix-its-too-soon-to-buy-this-top-notch-industrial-stock.html,1548270000
MA,The Story Behind the Real (And Fake) Names on Credit Cards,"This article delves into the origins of placeholder names seen on credit card marketing materials, revealing whether they belong to real people or fictional identities. It uncovers the stories behind names like CF Frost on American Express cards, D. Barrett on Chase cards, and Chris L Martin on Bank of America promotions. The piece explains why banks use these names to engage potential customers and reflects on the broader practice of displaying a name on a credit card.",https://thepointsguy.com/news/story-behind-names-on-credit-cards/,1552780292
MA,"Introducing Apple Card, a new kind of credit card created by Apple","Apple announced Apple Card, a new credit card designed for iPhone, focusing on simplicity, transparency, and privacy, aiming to help customers achieve a healthier financial life. It integrates into the Apple Wallet app, offers Daily Cash rewards, eliminates fees, and provides real-time spending insights. Apple is partnering with Goldman Sachs and Mastercard for its launch in the US this summer.",https://www.apple.com/newsroom/2019/03/introducing-apple-card-a-new-kind-of-credit-card-created-by-apple/,1553557283
MA,Bank of America tech chief is skeptical on blockchain even though BofA has the most patents for it,"Bank of America's tech and operations chief, Cathy Bessant, expresses skepticism about blockchain's immediate utility, despite the bank holding more blockchain-related patents (82) than any other financial firm. Bessant views blockchain as a technology still searching for a clear use case that scales beyond individual transactions. While the bank is ""future-proofing"" with patents, Bessant is particularly doubtful about public blockchains and wary of projects like JPM Coin's actual usage volume.",https://www.cnbc.com/2019/03/25/bank-of-america-skeptical-on-blockchain-despite-having-most-patents.html,1553583480
MA,Apple Card vs. American Express Platinum: A High-End Credit Card Face-Off,"This article compares the new Apple Card with the American Express Platinum, highlighting their features, fees, interest rates, and perks. While Apple aims to disrupt the credit card industry with its fee-free model and integrated ecosystem, American Express Platinum offers a suite of luxury benefits. The comparison aims to help consumers understand where Apple Card fits into the high-end credit card market.",https://fortune.com/2019/04/02/apple-card-american-express-platinum/,1554249090
MA,"Earnings preview: American Express (AXP) to cash in on cardmember spending, partnerships in Q1","American Express (AXP) is expected to report diluted earnings of $1.98 per share on revenues of $10.45 billion for Q1 2019, driven by increased cardmember spending and strategic partnerships. The company has consistently topped earnings expectations, and analysts have a mixed ""hold"" and ""buy"" rating on the stock with an average price target of around $118.",https://news.alphastreet.com/american-express-axp-q1-2019-earnings-preview/,1555458690
MA,BMO Bank of Montreal To Implement Mastercard Send In Canada,"BMO Bank of Montreal is implementing Mastercard Send in Canada to provide faster, cheaper, and more transparent international payment services for its business and commercial banking clients. This partnership aims to enhance cross-border payments by allowing clients to send money efficiently and securely to bank accounts in over 75 countries, with future plans to expand to mobile wallets and cards. This initiative addresses the increasing demand for cost-effective cross-border solutions for global businesses.",https://www.pymnts.com/news/banking/2019/bmo-mastercard-send-canada/,1556149934
MA,SWOT Analysis of American Express - AMEX SWOT Analysis,"This article provides a comprehensive SWOT analysis of American Express, detailing its strengths such as strong brand recognition and high market capital, and weaknesses like a declining traveler's cheque business and lack of debit cards. It also identifies opportunities for market expansion and increased product offerings, alongside threats from strong competitors and volatile economic conditions. The analysis highlights AMEX's position as a prestigious financial service provider and outlines potential areas for growth and concern.",https://www.marketing91.com/swot-analysis-american-express/,1558050691
MA,Adaptive Enterprises Are Growing Three Times Faster Than Their Competitors,"Adaptive enterprises, which proactively reconfigure themselves based on insights and leverage technology platforms, are growing 3.2 times faster than industry averages. These firms distinguish themselves by acting on insights, leveraging platforms for new value, and fostering a culture that embraces change, as exemplified by companies like CVS, Mastercard, and Netflix. The article emphasizes that while agility is foundational, true future market leadership requires this advanced level of adaptiveness.",https://www.forrester.com/blogs/adaptive-enterprises-are-growing-at-3x-faster-than-competitors/,1559002912
MA,VGT ETF Down On Tech Stock Woes,"The Vanguard Information Technology ETF (VGT) experienced a downturn due to woes in the technology stock market, particularly with the Nasdaq being rattled. The article highlights Apple's decline due to regulatory concerns and mentions the broader risk associated with the concentration of VGT's portfolio in a few major tech companies. Analysts from D.A. Davidson noted increasing regulatory disruption potential for tech titans like Amazon, Apple, Facebook, and Google globally.",https://www.etftrends.com/innovative-etfs-channel/vgt-etf-down-on-tech-stock-woes/,1559525775
